# SBD,#Brands,#Key,#Oth,#Rand,#Raw,#SimBrs,#SimKey,AvgWL,Dom len,Domain,Label,MaxWL,MinWL,Path,Path len,Protocol,RandD,Sbd len,Subdomain,URL len
0,1,1,0,3,5,0,0,7.0,14,asesoresvelfit,1,14,2,/media/datacredito.co/,22,http,True,0,,47
0,0,2,0,7,10,0,0,6.5,20,fgtsagendesaqueconta,1,20,2,/consulta8523211/principal.php,30,http,True,12,caixa.com.br,81
0,0,2,0,2,5,12,12,6.0,13,hissoulreason,1,13,2,/js/homepage/home/,18,http,True,0,,42
0,0,1,0,2,5,0,0,7.0,9,newebpage,1,11,3,/webapps/66fbf/,15,http,False,11,unauthorizd,47
3,0,0,0,5,5,0,0,2.6,14,133.130.103.10,1,3,2,/23/,4,http,True,0,,25
0,3,1,0,4,14,6,3,2.9285714285714284,2,co,1,5,1,/css/,5,http,True,4,dj00,65
3,0,0,0,6,6,0,0,3.0,14,133.130.103.10,1,5,2,/21/logar/,10,http,True,0,,31
0,1,0,0,7,9,0,0,6.444444444444445,3,esy,1,15,2,/servico/sicredi/validarclientes/mobi/index.php,47,http,True,12,httpssicredi,73
0,2,1,0,6,11,6,3,3.4545454545454546,8,gamesaty,1,8,1,/wp-content///yh/en/,20,http,True,0,,58
0,0,1,0,3,4,0,0,8.75,16,luxuryupgradepro,1,16,3,/ymailNew/ymailNew/,19,http,True,0,,46
3,0,0,0,5,5,0,0,2.4,14,133.130.103.10,1,3,1,/1/,3,http,True,0,,24
3,0,0,0,9,11,0,0,3.8181818181818183,14,133.130.103.10,1,7,2,/24/sicredi/psmlId/31/paneid/index.htm,38,http,True,0,,59
0,1,0,0,2,3,0,0,6.333333333333333,3,hol,1,14,2,,0,http,True,14,smscaixaacesso,28
3,0,0,0,6,8,0,0,3.625,14,133.130.103.10,1,9,1,/7/SIIBC/siwinCtrl.php,22,http,True,0,,43
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/kjmmw57,8,http,True,0,,26
0,1,0,0,4,6,0,0,4.666666666666667,16,wrightlandscapes,1,16,1,/no/T/Y1.html,13,http,True,0,,40
0,0,0,0,6,8,9,27,5.625,7,eto-cms,1,9,2,/themes/goldstar/mtbonline/newmandt/,36,http,False,6,mautic,60
0,1,1,0,5,8,0,0,7.375,12,ginatringali,1,15,2,//al/alibaba21012015/alibaba21012015/666/index.html,51,http,True,0,,74
0,0,1,0,2,3,0,0,8.666666666666666,13,000webhostapp,1,13,3,/,1,https,True,10,staticmail,37
0,0,2,0,4,6,0,0,3.3333333333333335,5,umeda,1,5,2,/bba/BOA/home/,14,http,True,0,,33
0,0,1,0,5,8,0,0,5.375,14,krishworldwide,1,14,2,/BackUp/under/js/ayo1/index.html,32,http,True,0,,57
0,5,0,0,3,10,0,0,7.0,5,yahoo,1,32,1,/email_open_log_pic.php,23,http,False,0,,86
0,2,0,0,3,9,0,0,3.7777777777777777,4,avcc,1,8,1,/fonts/1/wropboxp/login.html,28,http,False,3,www,49
0,0,0,0,5,7,0,0,3.5714285714285716,12,craig-hallum,1,6,1,/sgg/1/login.htm,16,http,True,0,,38
0,0,2,0,3,8,0,0,8.375,23,verification-mobile-nab,1,32,3,/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,44,http,True,3,www,82
0,0,2,0,3,7,0,0,9.142857142857142,23,verification-mobile-nab,1,32,3,/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,44,http,True,0,,78
