Alexa Rank,Brand count,Domain,Known TLD,Label,Num Subdomains,Path,Protocol,URL Length
1,0,www.liquidgeneration.com,1,0,0,/,http,0
1,0,www.onlineanime.org,1,0,0,/,http,0
0,0,www.ceres.dti.ne.jp,0,0,1,/~nekoi/senno/senfirst.html,http,0
0,0,www.galeon.com,1,0,0,/kmh/,http,0
1,0,www.fanworkrecs.com,1,0,0,/,http,0
1,0,www.animehouse.com,1,0,0,/,http,0
2,1,www2.117.ne.jp,0,0,1,/~mb1996ax/enadc.html,http,0
2,1,archive.rhps.org,1,0,0,/fritters/yui/index.html,http,0
2,1,www.freecartoonsex.com,1,0,0,/,http,0
2,1,www.cutepet.org,1,0,0,/,http,0
2,1,www.taremeparadise.com,1,0,0,/,http,0
1,1,www.internetdump.com,1,0,0,/users/pornographite/index1.html,http,2
1,1,darkkaminari.net,1,0,0,,http,0
1,1,www.iei.net,1,0,0,/~bkos1/velneko.htm,http,0
0,1,www9.kinghost.com,1,0,0,/fetish/hentaibee/,http,0
1,1,www.jasonmeador.com,1,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/kaseychan17/index.html,http,0
0,1,www.angelfire.com,1,0,0,/journal/coldlemonade/index.html,http,2
2,1,e.webring.com,1,0,0,/hub,http,2
1,1,www.nemurokinenkan.net,1,0,0,,http,0
1,1,j-heaven.tripod.com,1,0,0,/library.htm,http,0
0,1,www.angelfire.com,1,0,0,/poetry/nicolesstories/,http,0
1,1,thesheeparecoming.tripod.com,1,0,0,/papercrane/,http,0
0,1,www.geocities.com,1,0,0,/eddie_monsoon2002/,http,0
2,1,www.shokushu.com,1,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/timessquare/arcade/7810/p_hgames.htm,http,2
2,1,www.hentaisocialclub.com,1,0,0,/ganguro/index.html,http,0
0,1,ryogamasaki.netfirms.com,1,0,0,/,http,0
0,1,members.tripod.com,1,0,0,/~chaz16/3.html,http,0
2,1,www.hentai-comics.com,1,0,0,/,http,0
2,1,www.jastusa.com,1,0,0,/,http,0
2,1,www.peachprincess.com,1,0,0,/,http,0
2,1,www.g-collections.com,1,0,0,,http,0
1,1,www.hentai-games.com,1,0,0,/,http,0
1,1,www.canadahentai.com,1,0,0,,http,0
1,1,www.hirameki-int.com,1,0,0,,http,0
2,1,www.himeyashop.com,1,0,0,/,http,0
0,1,www.jlist.com,1,0,0,/,http,0
1,1,www.clubspooey.com,1,0,0,/spooey/,http,0
1,1,www.hentaigamer.com,1,0,0,,http,0
2,1,www.pcrdist.com,1,0,0,,http,0
2,1,www.densetsu.com,1,0,0,/,http,0
2,1,www.animetric.com,1,0,0,/bgames.html,http,0
2,1,www.jmate.com,1,0,0,/home.html,http,0
1,1,www.three-musketeers.net,1,0,0,/mike/animeopinions.html,http,2
2,1,engbishoujo.tripod.com,1,0,0,,http,0
0,1,www.somethingawful.com,1,0,0,/hentai/,http,0
0,1,www.geocities.com,1,0,0,/aetus_kane/reviews.html,http,0
1,1,www.hentaigameszone.com,1,0,0,,http,0
2,1,www.hentaineko.com,1,0,0,/html_peekv/peek_vgames.shtml,http,2
0,1,www.asahi-net.or.jp,0,0,1,/~uz9y-ab/yaoicomic.htm,http,0
0,1,www.geocities.com,1,0,0,/tokyo/villa/9953/yaoimain.html,http,2
1,1,www.commonastherain.com,1,0,0,/eros.html,http,0
0,1,www.angelfire.com,1,0,0,/anime3/hoshinokaze/,http,0
1,1,www.discarnate.com,1,0,0,/boysnextdoor/,http,0
0,1,www.geocities.com,1,0,0,/spirestudio/index.htm,http,0
0,1,www.angelfire.com,1,0,0,/me3/mandaplay/index.html,http,0
0,1,www.geocities.com,1,0,0,/tokyo/courtyard/9155/carosmen.htm,http,2
1,1,members.tripod.com,1,0,0,/~cheekokr/enter.html,http,0
1,1,www.aoihayashi.com,1,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/shinji_is_my_man/,http,0
1,1,www.cruelangel.net,1,0,0,/divinitas/,http,0
